Text,Date
Why are governments ignoring this?,2034-09-24
Climate change is getting worse every year,2034-10-01
Great work by NASA explaining climate facts,2034-10-08
Emission levels are scary,2034-10-15
This is alarming data from NASA,2034-10-22
We need immediate climate action,2034-10-29
Great work by NASA explaining climate facts,2034-11-05
This data proves climate change is real,2034-11-12
Why are governments ignoring this?,2034-11-19
We need immediate climate action,2034-11-26
We need immediate climate action,2034-12-03
Why are governments ignoring this?,2034-12-10
NASA data clearly shows rising emissions,2034-12-17
Why are governments ignoring this?,2034-12-24
We need immediate climate action,2034-12-31
This data proves climate change is real,2035-01-07
We need immediate climate action,2035-01-14
This is alarming data from NASA,2035-01-21
Why are governments ignoring this?,2035-01-28
This data proves climate change is real,2035-02-04
Climate change is getting worse every year,2035-02-11
We must reduce emissions now,2035-02-18
Great work by NASA explaining climate facts,2035-02-25
Climate change is getting worse every year,2035-03-04
We need immediate climate action,2035-03-11
NASA data clearly shows rising emissions,2035-03-18
People still deny climate science,2035-03-25
We must reduce emissions now,2035-04-01
We must reduce emissions now,2035-04-08
People still deny climate science,2035-04-15
This data proves climate change is real,2035-04-22
Climate change is getting worse every year,2035-04-29
